id,motion_intensity,scene_change_count
VIDEO_7349173304613162246,34.913,6
VIDEO_7087984641864502534,37.738,5
VIDEO_7180432290151959814,54.195,7
VIDEO_7325113581249301766,23.064,0
VIDEO_7332928025517903109,13.48,0
VIDEO_7054255399968476422,11.143,0
VIDEO_7080583186522098949,4.229,0
VIDEO_7545528304237841720,24.726,1
VIDEO_7059832468412583173,22.608,0
VIDEO_7569526874024512780,1.63,0
VIDEO_7586689516153343288,47.615,8
VIDEO_7056423267564899590,17.966,0
VIDEO_7083930192657353990,19.264,1
VIDEO_7073547434244328709,4.193,0
VIDEO_7339952469901970693,21.959,2
VIDEO_7059442492080491781,30.46,4
VIDEO_7595900789546044684,17.596,0
VIDEO_6876847536938749185,61.641,8
VIDEO_7206417246502046981,31.157,6
VIDEO_7056858947935915270,16.397,0
VIDEO_7593673061476420920,15.495,2
VIDEO_7176635190469512453,13.462,0
VIDEO_7075406881111444742,32.893,4
VIDEO_7054964457310539013,12.042,0
VIDEO_6980319450687868166,24.338,0
VIDEO_7079418950315969798,20.947,1
VIDEO_7323237610665544966,61.382,9
VIDEO_7086144769222511877,26.263,3
VIDEO_6923874728902003973,32.522,5
VIDEO_7540672667704118533,25.605,1
VIDEO_7517644986310020408,17.555,0
VIDEO_7520150754858896645,27.773,3
VIDEO_7463089844516965637,17.626,0
VIDEO_7082386924677205253,24.342,1
VIDEO_7074644027190103302,21.224,1
VIDEO_7069844079122599173,26.432,3
VIDEO_6934012329067597061,4.793,0
VIDEO_7067985901011373317,35.056,5
VIDEO_7537787296209259782,36.346,6
VIDEO_7334734613429882117,16.909,1
VIDEO_6942166804311575814,15.539,0
VIDEO_7061273234259610885,9.934,1
VIDEO_7081323710442917125,25.743,2
VIDEO_7189955800851320070,25.064,0
VIDEO_7085367737178000646,21.803,0
VIDEO_7038692809985051909,31.412,5
VIDEO_7065769954695564550,18.004,1
VIDEO_7067623396279930117,6.516,0
VIDEO_7593820955810598156,19.563,2
VIDEO_7578641094464867595,16.983,0
VIDEO_7041160388334980357,71.097,8
VIDEO_7179319229924084997,3.03,0
VIDEO_7083526112558517510,14.811,1
VIDEO_7175864609029491974,50.945,4
VIDEO_7334309352062405893,15.923,1
VIDEO_7325861199604665606,30.348,2
VIDEO_7072780188018380038,43.534,7
VIDEO_7081701013891157253,34.851,8
VIDEO_7189175939098561798,23.538,2
VIDEO_6945377653587266822,15.383,0
VIDEO_7470863926922579205,18.539,0
VIDEO_7086111451965869317,23.325,1
VIDEO_7570044496004533516,57.288,8
VIDEO_7338825965419662598,20.935,0
VIDEO_7186344254921280773,26.514,3
VIDEO_7077597321667546373,27.17,1
VIDEO_7085748815449312517,12.171,1
VIDEO_7415576931577433349,26.339,3
VIDEO_7461940902890605829,48.745,6
VIDEO_7076131060420988165,44.784,6
VIDEO_7201892299112992005,9.219,0
VIDEO_7207818125402852613,5.863,0
VIDEO_7565955844764863755,20.275,0
VIDEO_7182983364293430533,48.419,7
VIDEO_7058664802880589062,23.254,1
VIDEO_7584927758497697035,10.25,1
VIDEO_7214396955810680069,5.501,0
VIDEO_7059747853035441414,22.991,0
VIDEO_7185872343988702470,53.17,9
VIDEO_7553173878785297720,14.176,0
VIDEO_7341020687345192197,21.528,1
VIDEO_7060513660975844614,24.566,1
VIDEO_7053886455805955333,45.248,6
VIDEO_7057221943623306501,28.458,3
VIDEO_7072415750589254918,15.554,3
VIDEO_7073513732395044102,25.693,2
VIDEO_7071272326746230021,28.253,4
VIDEO_7606743080678591766,0.507,0
VIDEO_7062415851231677702,12.162,0
VIDEO_7466106459403701526,15.457,0
VIDEO_7559557230903774486,0.211,0
VIDEO_7267879991004761376,17.596,0
VIDEO_7305425778076880161,7.768,0
VIDEO_7304272406548319520,27.989,4
VIDEO_7471289820795374870,30.625,6
VIDEO_7575110522522144022,27.988,1
VIDEO_7321436866287373600,17.398,1
VIDEO_7593664206210157827,5.293,0
VIDEO_7466514918137728278,18.984,2
VIDEO_7598574537407548694,40.412,7
VIDEO_7520582757412556054,16.885,0
VIDEO_7495368561821535510,21.257,2
VIDEO_7582254546236230934,29.684,3
VIDEO_7523154104273915158,31.209,3
VIDEO_7453069595327384865,13.649,0
VIDEO_7594160012247797014,36.61,6
VIDEO_7546567057056353558,3.12,0
VIDEO_7318832237842156832,0.713,0
VIDEO_7507578375586712854,9.488,1
VIDEO_7486822725684792599,22.003,2
VIDEO_7322420132649749793,26.635,1
VIDEO_7493891893026180374,14.879,0
VIDEO_7338778286597655840,45.153,5
VIDEO_7447538385993895201,9.052,0
VIDEO_7319919643378912544,13.132,1
VIDEO_7465714414814137623,21.569,2
VIDEO_7580000663845850390,36.569,6
VIDEO_7469067273794456854,28.109,2
VIDEO_7442354645382532385,8.134,0
VIDEO_7283105183352016160,16.999,0
VIDEO_7447184186034654496,20.975,2
VIDEO_7303968237966904609,16.725,1
VIDEO_7372132003078032672,22.381,0
VIDEO_7343970143497653537,12.165,0
VIDEO_7399975638112783649,18.857,1
VIDEO_7604101089775865110,25.06,2
VIDEO_7351073088601148704,14.808,1
VIDEO_7315822267781467424,2.083,0
VIDEO_7446341554735828256,3.491,0
VIDEO_7517987561692794134,3.616,0
VIDEO_7596412614402460950,9.724,0
VIDEO_7481624954484690198,9.236,0
VIDEO_7576319921030827286,10.032,0
VIDEO_7476865863409257750,39.047,6
VIDEO_7483098002547100950,45.0,9
VIDEO_7591891163175554326,20.93,0
VIDEO_7307971449870994720,16.389,1
VIDEO_7578151818585328918,26.886,2
VIDEO_7457587495031606560,21.942,0
VIDEO_7274897399045246241,34.27,5
VIDEO_7586630099286510870,12.603,0
VIDEO_7261958198775532832,36.648,4
VIDEO_7333562774750088480,15.076,0
VIDEO_7390334004001639713,53.948,9
VIDEO_7473224176086584598,4.763,0
VIDEO_7570012092829748502,6.49,0
VIDEO_7327710709201014049,19.827,1
VIDEO_7597422827196763414,9.172,0
VIDEO_7286830586478578976,54.247,5
VIDEO_7323667240933444896,1.919,0
VIDEO_7325457714312727840,27.28,2
VIDEO_7321012358594235681,29.753,1
VIDEO_7491632736105450774,29.671,2
VIDEO_7553223847730777346,21.09,2
VIDEO_7471566242168491286,40.838,7
VIDEO_7450183993355488545,38.144,8
VIDEO_7340356860299496736,25.13,2
VIDEO_7297205575501270304,14.152,0
VIDEO_7470495287212084503,23.67,0
VIDEO_7587478416618736918,16.804,1
VIDEO_7566632651352853782,39.153,7
VIDEO_7312523032025730337,34.725,3
VIDEO_7309133635578236192,26.036,2
VIDEO_7598953535165959426,13.395,0
VIDEO_7477935287646063894,13.517,0
VIDEO_7341738165746634017,25.366,1
VIDEO_7291228337123511585,24.41,2
VIDEO_7172555111879757062,36.093,6
VIDEO_7108997263912979717,43.857,9
VIDEO_7388867149407849760,0.737,0
VIDEO_7290955653349133600,27.556,3
VIDEO_7317664309432077600,16.389,0
VIDEO_7436044441170857249,25.338,1
VIDEO_7293822418068442400,21.865,1
VIDEO_7067063225736580357,25.137,3
VIDEO_7440142040542825760,48.348,8
VIDEO_7245239505911893274,6.177,0
VIDEO_7098701138203069702,20.798,0
VIDEO_7241956873698577691,22.28,0
VIDEO_7377004580510436641,33.705,5
VIDEO_7176917454893911301,6.48,0
VIDEO_7164772525006720262,39.385,8
VIDEO_7337268516128591136,19.726,0
VIDEO_7449430237114404128,35.728,4
VIDEO_7215656408069442822,13.411,1
VIDEO_7310626433129270560,29.466,3
VIDEO_7233784589523717402,10.11,0
VIDEO_7265326628274752801,40.404,5
VIDEO_7366603470272515361,26.008,0
VIDEO_7070162555695615237,10.383,0
VIDEO_7239344688006728986,33.629,5
VIDEO_7394351547376880929,27.719,3
VIDEO_7310258308969991457,32.337,2
VIDEO_7575831202117045526,41.252,4
VIDEO_7195215450970606853,12.18,0
VIDEO_7198189694750838022,10.117,0
VIDEO_7312076882822909217,20.344,0
VIDEO_7568382003330993430,54.729,4
VIDEO_7340916267571858721,59.736,8
VIDEO_7361799258107841825,41.31,9
VIDEO_7201579247616494853,21.445,0
VIDEO_7218493650160897306,1.85,0
VIDEO_7213655175318211845,11.984,0
VIDEO_7197445468585037062,8.405,0
VIDEO_7233472157588753691,34.677,5
VIDEO_7275592243086478624,5.027,0
VIDEO_7350954462992682272,17.29,0
VIDEO_7211932492914298118,27.841,1
VIDEO_7287986771483282720,12.904,0
VIDEO_7304665669872782625,17.105,0
VIDEO_7179688144382512390,49.423,8
VIDEO_7184090635018784005,6.167,0
VIDEO_7227138868447923482,32.611,6
VIDEO_7569206708090850582,24.879,2
VIDEO_7235651777805290778,39.877,3
VIDEO_7323108113698147616,17.291,0
VIDEO_7596993704146046230,14.599,0
VIDEO_7441626192760884513,49.99,5
VIDEO_7183009043407965445,12.403,0
VIDEO_7302041138670619936,30.399,4
VIDEO_7473095088948759830,14.804,1
VIDEO_7289368885390806304,32.99,5
VIDEO_7391756601100651809,9.514,0
VIDEO_7456310839121874198,7.735,0
VIDEO_7270111755886415137,0.631,0
VIDEO_7553554500972367107,12.834,0
VIDEO_7589754729350155542,38.969,7
VIDEO_7546473791115791638,9.341,0
VIDEO_7181547992061676805,15.222,1
VIDEO_7088619536202648837,33.494,6
VIDEO_7474625701350509846,27.565,3
VIDEO_7433817907278269729,34.596,2
VIDEO_7104552926231743749,34.45,5
VIDEO_7270778269899722016,19.924,1
VIDEO_7299732621825690912,8.504,0
VIDEO_7198831282984324358,14.723,0
VIDEO_7379193504355978528,28.224,3
VIDEO_7196711667420384517,9.779,0
VIDEO_7289785625367153952,24.584,2
VIDEO_7220765448000900357,3.53,0
VIDEO_7116439198285958405,30.42,3
VIDEO_7212710657672678661,98.235,7
VIDEO_7311663059695570208,13.77,0
VIDEO_7231978849448381722,27.175,3
VIDEO_7354009165796216097,35.791,4
VIDEO_7387308322162052385,11.431,0
VIDEO_7471251146288418070,53.612,9
VIDEO_7294901504752782625,5.043,0
VIDEO_7223080468101483781,44.186,3
VIDEO_7297529063785123104,9.356,0
VIDEO_7041273346830454022,13.63,1
VIDEO_7577768828214512918,24.894,0
VIDEO_7237120496020573467,14.898,0
VIDEO_6969101040918465798,9.999,0
VIDEO_7288326750243704096,17.671,0
VIDEO_7303174310259166497,29.12,3
VIDEO_7306585450305555745,47.304,9
VIDEO_7211130311667715334,28.527,2
VIDEO_7369613653626113313,21.566,0
VIDEO_7429720640111791392,37.098,6
VIDEO_7466117788898315552,32.856,6
VIDEO_7218219061707033882,6.829,0
VIDEO_7200056336321613062,3.971,0
VIDEO_7317307650499251488,25.486,3
VIDEO_7360309213765045536,35.094,7
VIDEO_7180437054843538693,13.548,1
VIDEO_7374072615356353825,19.635,2
VIDEO_7231163731080711450,18.452,1
VIDEO_7332835826579164449,75.3,7
VIDEO_7220074643086904581,6.002,0
VIDEO_7228647012009282842,21.521,0
VIDEO_7330883086684622112,3.091,0
VIDEO_7480851478555659543,9.492,0
VIDEO_7587308013363449121,17.538,0
VIDEO_7277939332831251744,31.622,6
VIDEO_7040300833019415813,22.551,0
VIDEO_7574767270392532246,23.963,3
VIDEO_7255302948413099290,20.631,0
VIDEO_7207350500419702022,14.023,0
VIDEO_7262001980095106337,8.785,0
VIDEO_7441997259060825377,55.209,9
VIDEO_7309427596553489696,10.563,0
VIDEO_7257181704241024282,22.514,3
VIDEO_7428251635102534945,35.398,6
VIDEO_7319074307202616609,7.464,0
VIDEO_6956567938891599109,22.105,0
VIDEO_7279032970286009632,18.063,2
VIDEO_7111254884971744518,15.579,0
VIDEO_7293176268361665824,10.071,1
VIDEO_7537707440142454038,20.865,2
VIDEO_7248301740670323995,6.166,1
VIDEO_7303586993965960480,37.554,8
VIDEO_7285256841158790433,30.626,4
VIDEO_7281279828307856673,13.941,0
VIDEO_7368427984539127073,37.81,2
VIDEO_7286488221893020960,7.127,0
VIDEO_7112440653350571269,43.438,6
VIDEO_7423773390932135201,18.792,1
VIDEO_7300846195444927776,12.951,0
VIDEO_7177655896699325702,6.757,0
VIDEO_7238235896724704538,23.052,0
VIDEO_7103816728982916357,7.492,0
VIDEO_7192298503878577413,16.584,1
VIDEO_7456840693982465312,35.219,3
VIDEO_7227881339125583131,11.642,0
VIDEO_7195937456271691014,24.807,1
VIDEO_7331811695360363809,21.69,0
VIDEO_7403329560554523936,24.925,2
VIDEO_7236043111128894747,28.417,3
VIDEO_7245708272181759258,32.799,5
VIDEO_7262720109133794592,29.377,3
VIDEO_7221875155184733445,6.199,0
VIDEO_7202313398300724485,6.253,0
VIDEO_7334381637586652448,1.592,0
VIDEO_7036035511869246725,13.559,1
VIDEO_7283524894585883936,21.376,0
VIDEO_7236382869650689306,4.766,0
VIDEO_7320909330314775840,5.919,0
VIDEO_7361030582446378272,23.054,0
VIDEO_7434931188642352417,12.718,1
VIDEO_7457582868370296096,36.105,4
VIDEO_7253425216984976667,10.867,0
VIDEO_7392856168214957345,9.714,0
VIDEO_7469703437299551510,44.095,5
VIDEO_7355765566625402144,20.046,2
VIDEO_7376630682824576289,16.052,3
VIDEO_7296115605927644449,12.563,0
VIDEO_7234190958772882715,13.089,2
VIDEO_7068640088774741254,11.419,0
VIDEO_7252685251112176922,10.528,1
VIDEO_7362544046675447073,39.639,3
VIDEO_7318707614332849441,20.257,1
VIDEO_7476404323317222658,17.571,0
VIDEO_7458325240628661537,64.109,8
VIDEO_7386194546062839073,4.259,0
VIDEO_7369936386000031009,40.147,5
VIDEO_7290457107726339360,7.771,0
VIDEO_7233097610821700890,14.117,0
VIDEO_7078227199463066886,12.911,0
VIDEO_7324696131143847201,22.945,2
VIDEO_7553924193562266902,39.226,8
VIDEO_7137227107456879877,10.732,0
VIDEO_7291300657355689249,18.27,0
VIDEO_7348717316856712480,26.88,1
VIDEO_7300495910595808545,17.945,0
VIDEO_7226043488738069787,11.405,0
VIDEO_7264958192017362208,22.431,2
VIDEO_7224934115089370395,9.099,0
VIDEO_7276041559500475680,19.924,1
VIDEO_7013121880366255365,20.158,0
VIDEO_7436650165861141792,33.179,8
VIDEO_7241209133540609307,16.51,0
VIDEO_7263464155540147489,24.163,2
VIDEO_7583720650200730902,22.136,1
VIDEO_7382166710029208865,2.185,0
VIDEO_7187830945658031365,20.527,1
VIDEO_7412540786975231264,2.527,0
VIDEO_7246768104922008858,14.56,0
VIDEO_7353535610641976609,24.813,0
VIDEO_7358723892992642336,3.878,0
VIDEO_7302346370701118752,26.338,0
VIDEO_7203048812351327494,6.174,0
VIDEO_7294149539781463328,4.267,0
VIDEO_7191848035784117510,34.352,4
VIDEO_7129505006046170373,31.609,1
VIDEO_7311263969220644129,11.887,0
VIDEO_7454985264952266016,41.687,5
VIDEO_7269759073967525153,19.498,0
VIDEO_7357646734354304289,38.28,4
VIDEO_7236760874646637851,23.163,2
VIDEO_7280571511138782496,42.929,7
VIDEO_7329423244992236832,20.093,0
VIDEO_7259047429796908315,49.157,8
VIDEO_7381115594076146977,14.672,0
VIDEO_7244550731141844251,22.915,0
VIDEO_7228975701066550554,2.486,0
VIDEO_7280108212878200096,8.783,0
VIDEO_7593041331174362390,0.519,0
VIDEO_7566297785914412310,14.028,0
VIDEO_7215124561799449861,7.587,0
VIDEO_7322488817968041249,37.348,7
VIDEO_7262342975752113441,10.379,0
VIDEO_7463520186876939552,27.405,3
VIDEO_7258676118033599771,25.912,0
VIDEO_7297134358689860896,12.25,0
VIDEO_7545446733921209622,22.677,1
VIDEO_7239735340737498395,11.084,0
VIDEO_7135716231218318597,4.363,0
VIDEO_7407736509996043553,15.774,0
VIDEO_7277097435090930977,8.699,0
VIDEO_7203810617180933382,13.142,0
VIDEO_7354275810578140449,5.771,0
VIDEO_7452758752337399073,19.943,1
VIDEO_7414443436134223137,19.002,1
VIDEO_7209925340557348101,30.276,5
VIDEO_7080140185001938181,4.459,0
VIDEO_7350207537771220256,24.774,1
VIDEO_7356509644170333473,10.033,0
VIDEO_7343256943923858720,52.466,8
VIDEO_7077571361660521733,7.694,0
VIDEO_7225632323146943771,28.588,4
VIDEO_7302809103150206241,33.389,6
VIDEO_7346110636008475937,23.471,2
VIDEO_7044841251262237958,30.753,5
VIDEO_7325097832015203617,2.012,0
VIDEO_7222319662787202310,7.773,0
VIDEO_7225296808900152603,24.75,4
VIDEO_7230327665918512411,51.246,8
VIDEO_7341290377858567456,13.361,0
VIDEO_7485301680930688278,58.14,8
VIDEO_7178804187403259142,4.132,0
VIDEO_7323972466445946145,19.502,0
VIDEO_7205658829403458821,22.4,2
VIDEO_7335091592077856032,16.479,0
VIDEO_7437536576072125728,58.08,9
VIDEO_7213053350290459910,64.459,8
VIDEO_7348379737519082784,40.016,4
VIDEO_7316470398261021985,26.085,1
VIDEO_7095721528142155014,16.097,1
VIDEO_7133481707449142533,10.986,1
VIDEO_7271545826923531552,31.82,5
VIDEO_7100934148864494854,28.497,3
VIDEO_7603273994216738070,88.074,7
VIDEO_7320159598290226464,25.677,0
VIDEO_7374412100833250593,10.533,1
VIDEO_7204907848449527045,17.073,0
VIDEO_7365841944318086432,13.486,0
VIDEO_7298264093100674336,0.968,0
VIDEO_7563724139240885526,17.996,2
VIDEO_7242348894435167514,32.192,7
VIDEO_7467231080735690017,7.795,1
VIDEO_7101649191662882053,17.366,0
VIDEO_7221552853356236037,8.762,0
VIDEO_7193034087660031237,7.996,0
VIDEO_7237511650532773146,10.348,0
VIDEO_7283139399582240032,12.863,0
VIDEO_7250555651993160987,26.116,0
VIDEO_7379227737271094561,8.669,0
VIDEO_7378467106636991777,13.152,0
VIDEO_7285720218360368417,18.618,1
VIDEO_7431962598909791521,35.182,2
VIDEO_7305093445926915361,33.594,6
VIDEO_7323612868484631840,9.49,0
VIDEO_7127182082568113413,29.66,4
VIDEO_7208539932422425861,35.769,6
VIDEO_7219686321739123974,9.909,0
VIDEO_7214767845383900421,9.024,0
VIDEO_7365161137324805408,25.817,0
VIDEO_7350708094302735649,57.702,7
VIDEO_7331415350828911904,23.311,2
VIDEO_7281651537124871456,16.863,1
VIDEO_7191012677869702405,21.071,0
VIDEO_7256066819247623450,13.876,0
VIDEO_7257040734174465307,6.066,0
VIDEO_7274647533002034465,32.701,5
VIDEO_7604808799404264726,7.525,0
VIDEO_7184844462525287685,6.416,0
VIDEO_7399196283501628705,16.599,0
VIDEO_7226428593075752218,28.244,4
VIDEO_7237872414581935386,10.857,0
VIDEO_7128322715894729989,25.813,2
VIDEO_7431168865142328608,27.189,1
VIDEO_7113851055355596038,22.272,0
VIDEO_7309856299632676129,11.973,0
VIDEO_7211431817205878021,10.925,0
VIDEO_7440465091817999649,5.311,0
VIDEO_7208839545989762309,35.317,7
VIDEO_7229342870518385946,40.176,8
VIDEO_7308758430318071072,25.0,5
VIDEO_7140150980246719750,17.119,0
VIDEO_7249004039688572186,28.79,3
VIDEO_7367273018181160224,31.44,5
VIDEO_7444595106025442593,47.398,5
VIDEO_7227547227005209882,36.195,5
VIDEO_7301229129314159904,13.011,0
VIDEO_7130906655885102341,36.318,6
VIDEO_7234782434531839258,25.454,3
VIDEO_7338052242651598112,27.019,3
VIDEO_7390632928780340512,4.947,0
VIDEO_7238653863794887962,6.562,0
VIDEO_7130612533437762821,3.754,0
VIDEO_7371791896622173473,30.987,6
VIDEO_7242719682128530714,26.06,3
VIDEO_7254561581449612571,22.156,0
VIDEO_7572922723836431638,16.926,0
VIDEO_7259455690996075803,23.359,1
VIDEO_7210434710646836485,34.714,7
VIDEO_7292048482456587553,17.803,2
VIDEO_7250141865645788443,55.548,9
VIDEO_7309091598472727840,49.561,9
VIDEO_7345543122400726305,51.171,8
VIDEO_7213453348270378246,31.17,5
VIDEO_7319513643534568736,16.572,0
VIDEO_7556661292233379075,18.794,1
VIDEO_7188587993752702213,11.061,0
VIDEO_7478288153153916182,32.878,5
VIDEO_7284876929713442080,26.26,0
VIDEO_7326123173311728929,37.295,5
VIDEO_7344270149593091361,57.372,9
VIDEO_7401388090830359841,33.42,4
VIDEO_7425965869924142369,27.453,5
VIDEO_7325724813115346208,41.682,8
VIDEO_7316159323728661792,40.513,6
VIDEO_7324283735749266721,31.277,5
VIDEO_7143162692004482310,20.042,0
VIDEO_7442349120498519329,27.566,2
VIDEO_7468715378743528736,35.858,4
VIDEO_7465375886779403552,44.637,5
VIDEO_7059301793574046982,6.875,0
VIDEO_7235266120414924058,44.94,7
VIDEO_7375160946618076449,32.826,5
VIDEO_7264173669612670240,61.78,9
VIDEO_7372534191776386336,58.23,4
VIDEO_7452387800818666785,32.773,3
VIDEO_7351779832969104673,21.259,1
VIDEO_7304376408191683872,35.733,6
VIDEO_7410298388022824225,3.651,0
VIDEO_7218857185764216069,10.558,1
VIDEO_7271935381937884448,35.74,3
VIDEO_7226734943869750555,11.805,0
VIDEO_7436403924350864672,15.359,0
VIDEO_7328709134126206241,46.494,6
VIDEO_7079814734664436998,16.932,1
VIDEO_7282663509505133856,28.733,3
VIDEO_7226766521719213338,18.53,0
VIDEO_7352233957276044577,39.008,8
VIDEO_7546523294489414934,41.89,7
VIDEO_7363657122795490593,7.186,0
VIDEO_6800982671657880837,24.233,2
VIDEO_7343975400122354977,2.254,0
VIDEO_7520640970199698710,0.036,0
VIDEO_7272755309658098976,15.398,0
VIDEO_7162183685423385862,6.092,0
VIDEO_6940653001791130885,26.146,3
VIDEO_7107270367303044358,25.328,3
VIDEO_7101685930276293894,27.125,1
VIDEO_7416286728513735968,18.322,0
VIDEO_7164792237543394566,35.444,4
VIDEO_7023313220278553862,22.06,0
VIDEO_6847902541095668997,39.172,7
VIDEO_6891645296233794817,23.005,1
VIDEO_6874890977631390978,22.945,0
VIDEO_7114705253899029765,33.678,3
VIDEO_7177404002508803334,23.685,0
VIDEO_6904609211431357698,35.067,1
VIDEO_7462655968522931478,22.301,0
VIDEO_7166637213604678917,21.942,2
VIDEO_7424512450856357153,12.043,0
VIDEO_7470850262840691990,7.776,0
VIDEO_6923969706332327174,11.817,0
VIDEO_7153997940774882565,9.417,0
VIDEO_6958797242429934854,20.257,0
VIDEO_7298756408994991393,14.388,1
VIDEO_7566270741134462230,34.31,8
VIDEO_6896446483080482050,42.095,7
VIDEO_7185555102487416070,42.247,6
VIDEO_7504292781637127446,33.905,3
VIDEO_7496799936558796054,25.958,1
VIDEO_7224139299594194203,8.802,0
VIDEO_6893888228848389377,20.426,3
VIDEO_7478712216724802838,40.442,9
VIDEO_7156608613346184454,8.864,0
VIDEO_7590718903144287510,24.493,2
VIDEO_7487960173529582870,54.245,8
VIDEO_7307595143559859488,29.398,3
VIDEO_7536170254989315350,45.848,8
VIDEO_7289470545270279456,23.76,0
VIDEO_7322847358646078752,29.286,3
VIDEO_7208566584535764250,29.492,5
VIDEO_7138043316087606533,10.286,0
VIDEO_7569927329154190614,5.644,0
VIDEO_7143619564775968006,15.364,0
VIDEO_7311689753676533024,23.322,1
VIDEO_6980342168535846149,26.661,1
VIDEO_7071272731286834437,11.826,0
VIDEO_6802558843114114310,20.562,0
VIDEO_7348097820320173344,18.635,0
VIDEO_6876362124260691202,38.48,8
VIDEO_7067569943449046278,22.646,3
VIDEO_7286486663910542625,16.792,0
VIDEO_6883561429727726850,15.366,0
VIDEO_6852640471013920006,28.078,3
VIDEO_7374727208394411297,20.807,2
VIDEO_7019559155425955077,30.87,4
VIDEO_7442737337525669142,13.533,0
VIDEO_7063121025394855173,27.89,1
VIDEO_7096121724990655749,36.27,8
VIDEO_7571821778746592534,13.649,1
VIDEO_7093894381794512133,42.98,8
VIDEO_6855731886438763781,13.704,0
VIDEO_6936943102523378950,16.031,0
VIDEO_6927911225066130693,13.883,0
VIDEO_7361057454454508833,4.663,0
VIDEO_7568823330518748438,39.302,10
VIDEO_7038638363686997254,14.334,0
VIDEO_7057200753470950661,3.021,0
VIDEO_7602656035161050390,16.871,0
VIDEO_7204395621468392709,23.93,2
VIDEO_7335847049495203104,25.597,2
VIDEO_7068298283386506502,17.169,0
VIDEO_7043009038623329541,12.019,0
VIDEO_7205976379370851589,44.524,8
VIDEO_7095777172513721605,16.916,2
VIDEO_7206342637316607237,13.493,0
VIDEO_7190456972418862342,11.771,0
VIDEO_7377811070636920096,43.778,8
VIDEO_7577374333048196374,2.649,0
VIDEO_7040105390410960133,30.076,5
VIDEO_7421927684965502240,31.956,3
VIDEO_7051571825989422342,22.362,2
VIDEO_7290947930108857633,21.343,1
VIDEO_7493248933460741378,15.832,0
VIDEO_7480938335133863190,1.605,0
VIDEO_7451599218545970454,6.898,0
VIDEO_7018383080205356293,7.434,0
VIDEO_7049689395460312326,17.535,1
VIDEO_7145110811000835333,28.086,3
VIDEO_7575170897451945238,27.565,2
VIDEO_6793765694619143430,46.925,8
VIDEO_7223430604547837210,28.801,3
VIDEO_7459503727737687318,39.812,6
VIDEO_7187436390131453190,39.698,6
VIDEO_7291678102948810016,9.848,0
VIDEO_7239729661788359962,15.838,0
